Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Sacramento County (Central)..."
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","264"
"LGL-Paralegals And Legal Assistants","315"
"LGL-Title Examiners, Abstractors, And Searchers","111"
"LGL-Legal Support Workers, All Other","234"
"EDU-Postsecondary Teachers","291"
"EDU-Preschool And Kindergarten Teachers","596"
"EDU-Elementary And Middle School Teachers","1011"
"EDU-Secondary School Teachers","202"
"EDU-Special Education Teachers","202"
"EDU-Tutors","0"
"EDU-Other Teachers And Instructors","221"
"EDU-Archivists, Curators, And Museum Technicians","0"
"EDU-Librarians And Media Collections Specialists","57"
"EDU-Library Technicians","145"
"EDU-Teaching Assistants","362"
"EDU-Other Educational Instruction and Library Workers","94"
"ENT-Artists And Related Workers","68"
"ENT-Commercial And Industrial Designers","0"
"ENT-Fashion Designers","0"
"ENT-Floral Designers","31"
"ENT-Graphic Designers","39"
"ENT-Interior Designers","92"
"ENT-Merchandise Displayer And Windows Trimmers","0"
"ENT-Other Designers","130"
"ENT-Actors","50"
"ENT-Producers And Directors","61"
"ENT-Athletes And Sports Competitors","0"
"ENT-Coaches And Scouts","115"
"ENT-Umpires, Referees, And Other Sports Officials","0"
"ENT-Dancers And Choreographers","0"
"ENT-Music Directors And Composers","0"
"ENT-Musicians And Singers","0"
"ENT-Disc Jockeys, Except Radio","0"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","0"
"ENT-Broadcast Announcers And Radio Disc Jockeys","25"
"ENT-News Analysts, Reporters, And Journalists","0"
"ENT-Public Relations Specialists","0"
"ENT-Editors","0"
"ENT-Technical Writers","135"
"ENT-Writers And Authors","0"
"ENT-Interpreters And Translators","0"
"ENT-Court Reporters And Simultaneous Captioners","0"
"ENT-Media And Communication Workers, All Other","0"
"ENT-Photographers","0"
"ENT-Television, Video, And Film Camera Operators And Editors","64"
"ENT-Other Media And Communication Equipment Workers","0"
"MED-Chiropractors","0"
"MED-Dentists","111"
"MED-Dietitians And Nutritionists","83"
"MED-Optometrists","0"
"MED-Pharmacists","341"
"MED-Physician Assistants","135"
"MED-Podiatrists","0"
"MED-Occupational Therapists","0"
"MED-Physical Therapists","0"
"MED-Radiation Therapists","0"
"MED-Recreational Therapists","0"
"MED-Respiratory Therapists","0"
"MED-Speech-Language Pathologists","94"
"MED-Other Therapists","150"
"MED-Veterinarians","109"
"MED-Registered Nurses","1351"
"MED-Nurse Anesthetists","0"
"MED-Audiologists","0"
"MED-Nurse Practitioners, And Nurse Midwives","0"
"MED-Physicians","422"
"MED-Surgeons","0"
"MED-Acupuncturists","0"
"MED-Dental Hygienists","0"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","0"
"MED-Clinical Laboratory Technologists And Technicians","152"
"MED-Cardiovascular Technologists And Technicians","0"
"MED-Diagnostic Medical Sonographers","45"
"MED-Radiologic Technologists And Technicians","411"
"MED-Magnetic Resonance Imaging Technologists","0"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","0"
"MED-Emergency Medical Technicians","70"
"MED-Paramedics","0"
"MED-Pharmacy Technicians","245"
"MED-Psychiatric Technicians","80"
"MED-Surgical Technologists","0"
"MED-Veterinary Technologists And Technicians","0"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","0"
"MED-Licensed Practical And Licensed Vocational Nurses","127"
"MED-Medical Records Specialists","30"
"MED-Opticians, Dispensing","0"
"MED-Miscellaneous Health Technologists And Technicians","217"
"MED-Other Healthcare Practitioners And Technical Occupations","0"
"HLS-Home Health Aides","146"
"HLS-Personal Care Aides","1387"
"HLS-Nursing Assistants","255"
"HLS-Orderlies And Psychiatric Aides","0"
"HLS-Occupational Therapy Assistants And Aides","0"
"HLS-Physical Therapist Assistants And Aides","0"
"HLS-Massage Therapists","283"
"HLS-Dental Assistants","32"
"HLS-Medical Assistants","88"
"HLS-Medical Transcriptionists","0"
"HLS-Pharmacy Aides","29"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","0"
"HLS-Phlebotomists","0"
"HLS-Other Healthcare Support Workers","241"
"PRT-First-Line Supervisors Of Correctional Officers","0"
"PRT-First-Line Supervisors Of Police And Detectives","0"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","0"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","0"
"PRT-Firefighters","76"
"PRT-Fire Inspectors","129"
"PRT-Bailiffs","0"
"PRT-Correctional Officers And Jailers","177"
"PRT-Detectives And Criminal Investigators","145"
"PRT-Police Officers","319"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","92"
"PRT-Animal Control Workers","0"
"PRT-Private Detectives And Investigators","39"
"PRT-Security Guards And Gambling Surveillance Officers","698"
"PRT-Crossing Guards And Flaggers","0"
"PRT-Transportation Security Screeners","0"
"PRT-School Bus Monitors","0"
"PRT-Other Protective Service Workers","0"
"EAT-Chefs And Head Cooks","77"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","364"
"EAT-Cooks","1084"
"EAT-Food Preparation Workers","294"
"EAT-Bartenders","91"
"EAT-Fast Food And Counter Workers","175"
"EAT-Waiters And Waitresses","1224"
"EAT-Food Servers, Nonrestaurant","0"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","151"
"EAT-Dishwashers","401"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","28"
"EAT-Food Preparation And Serving Related Workers, All Other","0"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","0"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","157"
"CLN-Maids And Housekeeping Cleaners","1729"
"CLN-Janitors And Building Cleaners","1153"
"CLN-Pest Control Workers","0"
"CLN-Landscaping And Groundskeeping Workers","751"
"CLN-Tree Trimmers And Pruners","106"
"CLN-Other Grounds Maintenance Workers","0"
"PRS-Supervisors of Personal Care And Service Workers","65"
"PRS-Animal Trainers","0"
"PRS-Animal Caretakers","0"
"PRS-Gambling Services Workers","49"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","0"
"PRS-Other Entertainment Attendants And Related Workers","62"
"PRS-Morticians, Undertakers, And Funeral Arrangers","0"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","0"
"PRS-Barbers","0"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","230"
"PRS-Manicurists and Pedicurists","173"
"PRS-Skincare Specialists","0"
"PRS-Other Personal Appearance Workers","0"
"PRS-Baggage Porters, Bellhops, And Concierges","0"
"PRS-Tour And Travel Guides","0"
"PRS-Childcare Workers","848"
